Latitude (deg)    Minimum    Maximum    Average
--------------    -------    -------    -------
         0.000          5          5      5.000
         1.000          5          5      5.000
         2.000          5          5      5.000
         3.000          5          5      5.000
         4.000          5          5      5.000
         5.000          4          4      4.000
         6.000          5          5      5.000
         7.000          5          5      5.000
         8.000          5          5      5.000
         9.000          5          5      5.000
        10.000          4          4      4.000
        11.000          5          5      5.000
        12.000          5          5      5.000
        13.000          5          5      5.000
        14.000          5          5      5.000
        15.000          5          5      5.000
        16.000          5          5      5.000
        17.000          5          5      5.000
        18.000          5          5      5.000
        19.000          5          5      5.000
        20.000          6          6      6.000
        21.000          6          6      6.000
        22.000          6          6      6.000
        23.000          6          6      6.000
        24.000          6          6      6.000
        25.000          6          6      6.000
        26.000          6          6      6.000
        27.000          6          6      6.000
        28.000          6          6      6.000
        29.000          7          7      7.000
        30.000          7          7      7.000
        31.000          7          7      7.000
        32.000          6          6      6.000
        33.000          6          6      6.000
        34.000          7          7      7.000
        35.000          8          8      8.000
        36.000          9          9      9.000
        37.000          8          8      8.000
        38.000          9          9      9.000
        39.000         10         10     10.000
        40.000         10         10     10.000
        41.000         10         10     10.000
        42.000         10         10     10.000
        43.000         13         13     13.000
        44.000         13         13     13.000
        45.000         16         16     16.000
        46.000         17         17     17.000
        47.000         18         18     18.000
        48.000         18         18     18.000
        49.000         18         18     18.000
        50.000         18         18     18.000
        51.000         17         17     17.000
        52.000         16         16     16.000
        53.000         16         16     16.000
        54.000         14         14     14.000
        55.000         13         13     13.000
        56.000         11         11     11.000
        57.000          9          9      9.000
        58.000          8          8      8.000
        59.000          5          5      5.000
        60.000          3          3      3.000
